Number,Type,Name,Registration Point,Filename
1,filmLoop,FullWoman,"(17, 17)",
41,bitmap,woman0001 copy,"(8, 13)",
42,bitmap,woman0002 copy,"(7, 14)",
43,bitmap,woman0003 copy,"(6, 15)",
44,bitmap,woman0004 copy,"(5, 14)",
45,bitmap,woman0005 copy,"(9, 13)",
46,bitmap,woman0006 copy,"(6, 14)",
47,bitmap,woman0007 copy,"(6, 14)",
48,bitmap,woman0008 copy,"(7, 14)",
49,bitmap,woman0009 copy,"(8, 12)",
50,bitmap,woman0010 copy,"(7, 13)",
51,bitmap,woman0011 copy,"(7, 13)",
52,bitmap,woman0012 copy,"(8, 13)",
53,bitmap,woman0013 copy,"(9, 12)",
54,bitmap,woman0014 copy,"(8, 13)",
55,bitmap,woman0015 copy,"(6, 13)",
56,bitmap,woman0016 copy,"(7, 13)",
57,bitmap,terror0002,"(12, 16)",
58,bitmap,terror0001,"(12, 16)",
59,bitmap,womanSouth0013,"(7, 6)",
60,bitmap,womanSouth0014,"(8, 7)",
61,bitmap,womanSouth0015,"(7, 6)",
62,bitmap,womanSouth0016,"(8, 10)",
63,bitmap,womanSouth0017,"(8, 12)",
64,bitmap,womanSouth0018,"(17, 18)",
65,bitmap,womanWest0001,"(8, 5)",
66,bitmap,womanWest0002,"(7, 6)",
67,bitmap,womanWest0003,"(7, 6)",
68,bitmap,womanWest0004,"(7, 10)",
69,bitmap,womanWest0005,"(9, 10)",
70,bitmap,womanWest0006,"(12, 15)",
71,bitmap,deadwoman,"(17, 10)",
72,bitmap,deadwoman2 copy,"(12, 10)",
