Number,Type,Name,Registration Point,Filename
1,script,Game Movie,"(0, 0)",
2,script,Frame Init Behavior,"(0, 0)",
3,script,Frame Play Behavior,"(0, 0)",
4,script,Map Class Parent,"(0, 0)",
5,script,People Class Parent,"(0, 0)",
6,script,Person Class Behavior,"(0, 0)",
7,script,Isometric Class Parent,"(0, 0)",
8,script,Building Class Parent,"(0, 0)",
9,script,Frame Menu Behavior,"(0, 0)",
10,script,Sound Class Parent,"(0, 0)",
11,script,Missile Behavior,"(0, 0)",
12,script,Target Behavior,"(0, 0)",
13,script,Frame Wait Behavior,"(0, 0)",
14,script,Frame Streaming Behavior,"(0, 0)",
