Number,Type,Name,Registration Point,Filename
1,bitmap,kid0001 copy,"(5, 5)",
2,bitmap,kid0002 copy,"(4, 6)",
3,bitmap,kid0003 copy,"(4, 7)",
4,bitmap,kid0004 copy,"(4, 6)",
5,bitmap,kid0005 copy,"(7, 5)",
6,bitmap,kid0006 copy,"(4, 6)",
7,bitmap,kid0007 copy,"(4, 7)",
8,bitmap,kid0008 copy,"(5, 6)",
9,bitmap,kid0009 copy,"(5, 7)",
10,bitmap,kid0010 copy,"(6, 8)",
11,bitmap,kid0011 copy,"(6, 9)",
12,bitmap,kid0012 copy,"(5, 8)",
13,bitmap,kid0013 copy,"(8, 7)",
14,bitmap,kid0014 copy,"(6, 8)",
15,bitmap,kid0015 copy,"(5, 9)",
16,bitmap,kid0016 copy,"(6, 8)",
17,bitmap,deadkid,"(12, 8)",
18,bitmap,deadkid2 copy,"(11, 10)",
19,bitmap,kidCry0001 copy,"(6, 1)",
20,bitmap,kidCry0002 copy,"(5, 2)",
21,bitmap,kidCry0003 copy,"(5, 2)",
22,bitmap,kidCry0004 copy,"(5, 2)",
23,bitmap,kidCry0005 copy,"(5, 0)",
24,bitmap,kidCry0006 copy,"(5, 0)",
25,bitmap,kidCry0007 copy,"(5, 1)",
26,bitmap,kidCry0008 copy,"(5, 1)",
27,bitmap,kidCry0009 copy,"(5, 1)",
28,bitmap,kidCry0010 copy,"(8, 7)",
29,bitmap,kidCry0011 copy,"(12, 9)",
30,bitmap,kidCry0012 copy,"(6, 2)",
31,bitmap,kidCry0013 copy,"(6, 2)",
32,bitmap,kidCry0014 copy,"(6, 2)",
33,bitmap,kidCry0015 copy,"(12, 0)",
34,bitmap,kidCry0016 copy,"(12, -4)",
35,bitmap,kidCry0017 copy,"(12, -3)",
36,bitmap,kidCry0018 copy,"(12, -3)",
37,bitmap,kidCry0019 copy,"(12, -4)",
38,bitmap,kidCry0020 copy,"(12, -3)",
39,bitmap,kidCry0021 copy,"(9, 0)",
40,bitmap,kidCry0022 copy,"(6, 6)",
41,bitmap,kidCry0023 copy,"(7, 12)",
42,bitmap,kidCry0024 copy,"(6, 1)",
43,bitmap,kidCry0025 copy,"(5, 2)",
44,bitmap,kidCry0026 copy,"(5, 2)",
45,bitmap,kidCry0027 copy,"(5, 2)",
46,bitmap,kidCry0028 copy,"(5, 0)",
47,bitmap,kidCry0029 copy,"(5, 0)",
48,bitmap,kidCry0030 copy,"(5, 1)",
49,bitmap,kidCry0031 copy,"(5, 1)",
50,bitmap,kidCry0032 copy,"(5, 1)",
51,bitmap,kidCry0033 copy,"(3, 7)",
52,bitmap,kidCry0034 copy,"(5, 9)",
53,bitmap,kidCry0035 copy,"(6, 2)",
54,bitmap,kidCry0036 copy,"(6, 2)",
55,bitmap,kidCry0037 copy,"(6, 2)",
56,bitmap,kidCry0038 copy,"(12, 0)",
57,bitmap,kidCry0039 copy,"(12, -4)",
58,bitmap,kidCry0040 copy,"(12, -3)",
59,bitmap,kidCry0041 copy,"(12, -3)",
60,bitmap,kidCry0042 copy,"(12, -4)",
61,bitmap,kidCry0043 copy,"(11, -3)",
62,bitmap,kidCry0044 copy,"(9, 0)",
63,bitmap,kidCry0045 copy,"(12, 5)",
64,bitmap,kidCry0046 copy,"(12, 10)",
65,filmLoop,FullKid,"(16, 16)",
66,bitmap,terror0002,"(12, 16)",
67,bitmap,terror0001,"(12, 16)",
