Number,Type,Name,Registration Point,Filename
11,filmLoop,FullMan,"(16, 16)",
12,bitmap,man0001 copy,"(7, 14)",
13,bitmap,man0002 copy,"(5, 15)",
14,bitmap,man0003 copy,"(4, 16)",
15,bitmap,man0004 copy,"(6, 15)",
16,bitmap,man0005 copy,"(9, 14)",
17,bitmap,man0006 copy,"(5, 14)",
18,bitmap,man0007 copy,"(4, 15)",
19,bitmap,man0008 copy,"(5, 14)",
20,bitmap,man0009 copy,"(9, 13)",
21,bitmap,man0010 copy,"(8, 14)",
22,bitmap,man0011 copy,"(7, 15)",
23,bitmap,man0012 copy,"(9, 14)",
24,bitmap,man0013 copy,"(10, 13)",
25,bitmap,man0014 copy,"(8, 14)",
26,bitmap,man0015 copy,"(6, 15)",
27,bitmap,man0016 copy,"(7, 14)",
28,bitmap,terror0002,"(12, 16)",
29,bitmap,terror0001,"(12, 16)",
30,bitmap,SouthMan0001,"(12, 3)",
31,bitmap,SouthMan0002,"(11, 4)",
32,bitmap,SouthMan0003,"(11, 5)",
33,bitmap,SouthMan0005,"(11, 7)",
34,bitmap,SouthMan0006,"(12, 11)",
35,bitmap,westMan0001,"(11, 4)",
36,bitmap,westMan0002,"(10, 4)",
37,bitmap,westMan0003,"(11, 5)",
38,bitmap,westMan0004,"(11, 6)",
39,bitmap,westMan0005,"(10, 2)",
40,bitmap,westMan0006,"(10, 1)",
41,bitmap,westMan0007,"(11, 1)",
42,bitmap,westMan0008,"(10, 1)",
43,bitmap,westMan0009,"(11, 1)",
44,bitmap,westMan0010,"(10, 1)",
45,bitmap,westMan0011,"(10, 9)",
46,bitmap,westMan0012,"(9, 13)",
47,bitmap,deadman,"(16, 12)",
48,bitmap,deadman2 copy,"(16, 11)",
