Number,Type,Name,Registration Point,Filename
16,filmLoop,FullEvil,"(16, 15)",
17,bitmap,evil0001 copy,"(10, 13)",
18,bitmap,evil0002 copy,"(10, 14)",
19,bitmap,evil0003 copy,"(10, 15)",
20,bitmap,evil0004 copy,"(10, 14)",
21,bitmap,evil0005 copy,"(10, 13)",
22,bitmap,evil0006 copy,"(10, 14)",
23,bitmap,evil0007 copy,"(10, 15)",
24,bitmap,evil0008 copy,"(10, 14)",
25,bitmap,evil0009 copy,"(9, 13)",
26,bitmap,evil0010 copy,"(9, 14)",
27,bitmap,evil0011 copy,"(8, 15)",
28,bitmap,evil0012 copy,"(8, 14)",
29,bitmap,evil0013 copy,"(10, 13)",
30,bitmap,evil0014 copy,"(8, 14)",
31,bitmap,evil0015 copy,"(9, 15)",
32,bitmap,evil0016 copy,"(9, 14)",
33,bitmap,deadterror2 copy,"(16, 10)",
34,bitmap,deadTerrorNorth,"(16, 10)",
